"Order ID","Date","month","Customer ID","Customer Name","Sales Person","Region","Item","Price","Quantity","Revenue"
"0001","1/1/2018","Jan","11","Company K","Michael Fox","New Mexico","Item 2","199","3","597"
"0002","1/2/2018","Jan","1","Company A","Anna Weber","Texas","Item 5","289","7","2023"
"0003","1/3/2018","Jan","9","Company I","Kim Fishman","California","Item 4","159","3","477"
"0004","1/3/2018","Jan","18","Company R","Oscar Knox","Arizona","Item 5","289","3","867"
"0005","1/4/2018","Jan","16","Company P","Oscar Knox","Arizona","Item 3","69","4","276"
"0006","1/4/2018","Jan","13","Company M","Michael Fox","New Mexico","Item 2","199","2","398"
"0007","1/4/2018","Jan","17","Company Q","Andrew James","Arizona","Item 5","289","9","2601"
"0008","1/5/2018","Jan","14","Company N","Michael Fox","New Mexico","Item 2","199","5","995"
"0009","1/5/2018","Jan","20","Company T","Andrew James","Arizona","Item 1","399","5","1995"
"0010","1/5/2018","Jan","3","Company C","Anna Weber","Texas","Item 2","199","0","0"
"0011","1/5/2018","Jan","8","Company H","Laura Larsen","California","Item 5","289","9","2601"
"0012","1/5/2018","Jan","6","Company F","Laura Larsen","California","Item 1","399","6","2394"
"0013","1/5/2018","Jan","9","Company I","Kim Fishman","California","Item 2","199","6","1194"
"0014","1/5/2018","Jan","4","Company D","Anna Weber","Texas","Item 1","399","4","1596"
"0015","1/5/2018","Jan","6","Company F","Kim Fishman","California","Item 2","199","2","398"
"0016","1/6/2018","Jan","13","Company M","Michael Fox","New Mexico","Item 3","69","0","0"
"0017","1/7/2018","Jan","14","Company N","Michael Fox","New Mexico","Item 5","289","0","0"
"0018","1/7/2018","Jan","19","Company S","Oscar Knox","Arizona","Item 4","159","5","795"
"0019","1/7/2018","Jan","10","Company J","Laura Larsen","California","Item 3","69","2","138"
"0020","1/7/2018","Jan","5","Company E","Anna Weber","Texas","Item 1","399","3","1197"
"0021","1/7/2018","Jan","10","Company J","Laura Larsen","California","Item 3","69","2","138"
"0022","1/7/2018","Jan","11","Company K","Anne Lee","New Mexico","Item 5","289","6","1734"
"0023","1/7/2018","Jan","8","Company H","Laura Larsen","California","Item 4","159","4","636"
"0024","1/7/2018","Jan","12","Company L","Michael Fox","New Mexico","Item 1","399","2","798"
